Sentence,Language,Structure,Tense
তারা একসাথে পরীক্ষার জন্য পড়াশোনা করেছিল।,Bangla,Simple,Past
How sharp the scissors cut when you use them carefully!,English,Complex,Present
"Wear your hat when it’s sunny, and apply sunscreen too.",English,Compound,Present
চাঁদের আলো কত উজ্জ্বলভাবে হ্রদটিকে আলোকিত করল!,Bangla,Simple,Past
"The dog ran across the yard, and the children laughed.",English,Compound,Past
রবিবার বাড়ি পরিষ্কার করো।,Bangla,Simple,Present
"তোমার হোমওয়ার্ক ব্যাকপ্যাকে রাখো, এবং স্কুলে যাওয়ার আগে আবার দেখে নিও।",Bangla,Compound-complex,Present
"The baby cried when she was hungry, so we quickly prepared her food.",English,Complex,Past
"তারা শনিবার মাছ ধরতে যাবে, কিন্তু শুধুমাত্র যদি আবহাওয়া ভাল থাকে।",Bangla,Compound,Future
আমি স্কুলের জন্য একটি কবিতা লিখেছিলাম যদিও এটি আমার জন্য কঠিন ছিল।,Bangla,Complex,Past
"আমরা বন পথ দিয়ে হাঁটছিলাম, এবং সূর্য অস্ত যাচ্ছে যখন পাখিরা গান গাইছিল।",Bangla,Compound-complex,Past
তুমি যখন ফাঁকা থাকো বাবা-মার সাথে ঘর পরিষ্কারে সাহায্য করো।,Bangla,Complex,Present
সোজা হয়ে দাঁড়াও।,Bangla,Simple,Present
"সে কি ছুটিতে গেলে ছবি তোলে, নাকি মুহূর্তটি উপভোগ করতেই বেশি পছন্দ করে?",Bangla,Compound-complex,Present
"জন কাজের জন্য গাড়ি চালিয়েছিল, কিন্তু আমি প্রতিদিন রাতে ইংরেজি পড়তাম।",Bangla,Compound,Past
"My brother rides the scooter to school, but he walks if the weather is bad or rainy.",English,Compound-complex,Present
Do you know whether she goes hiking often?,English,Complex,Present
"আমরা কি সন্ধ্যায় দৌড়াতে যাই, নাকি খারাপ আবহাওয়ায় অন্য সময় ব্যায়াম করি?",Bangla,Compound-complex,Present
"How gently the cat moves, and how silently it jumps to the windowsill!",English,Compound,Present
"অন্যের ব্যক্তিগত স্পেসকে সম্মান করো কারণ সবাইকে ব্যক্তিগত গোপনীয়তা প্রয়োজন, আর অনুমতি ছাড়া তাদের ঘরে প্রবেশ করো না।",Bangla,Compound-complex,Present
তারা কি ক্যাম্পিং উপভোগ করে?,Bangla,Simple,Present
"How steady the firefighter climbs, but how fierce the flames roar below, though he remains fearless!",English,Compound-complex,Present
They studied together at the library.,English,Simple,Past
The baby smiled at everyone.,English,Simple,Past
"He finished work, so he will call his parents tomorrow.",English,Compound,Future
"Do you like reading novels, or do you prefer non-fiction because you want to learn new things?",English,Compound-complex,Present
Did you write a poem for the contest?,English,Simple,Past
"He wears a suit to the office, but he prefers casual clothes on weekends.",English,Compound,Present
"বাচ্চারা কি সাঁতার কাটতে পছন্দ করে, নাকি গরম আবহাওয়ায় অন্য খেলা পছন্দ করে?",Bangla,Compound-complex,Present
